ingredient_id,name,category,temperature,taste,target_organs,element_action,role,note
I178,マス,魚介類,温,甘,脾,補熱,メイン,マスは「熱を補う食材」のうちの「温裏類」に分類される / 熱を補うほか、胃を温める、下痢を抑えるなど
I179,マスタード,その他,温,辛,"肝,脾,肺,腎","巡気,補熱",サポート,呼吸器を温めてたんを取る、気を巡らせる、 / はれものを抑える、痛みを抑えるなど
I180,松の実,ナッツ類,温,甘,"肺,腎",補水,サポート,水を補うほか、呼吸器を潤してせきを抑える、 / 腸を潤して便通をよくするなど
I181,マナガツオ,魚介類,平,甘,脾,補気,メイン,気を補うほか、血を補う、胃腸の働きを助けるなど
I182,マンゴー,フルーツ類,涼,"甘,酸","肝,心",清熱,サポート,熱を取るほか、口の渇きを抑える、吐き気を抑える、 / 排尿を促すなど
I183,ミカン,フルーツ類,温,"甘,酸",脾,巡気,サポート,気を巡らせるほか、胃の働きを助ける、 / 余分な水分を取る、たんを取るなど
I184,味噌,その他,寒,鹹,"肝,心",清熱,サポート,熱を取る、解毒など
I185,ミツバ,野菜・ハーブ類,温,辛,"肝,心,脾,腎","清熱,巡血,補熱",サポート,体を温めて発汗を促す、血を巡らせる、解毒など
I186,ミョウガ,野菜・ハーブ類,温,辛,脾,"清熱,巡気,補熱",サポート,体を温めて発汗を促す、寒さをやわらげる、解毒、 / 気を巡らせる、胃腸の働きを助けるなど
I187,ミント（薄荷）,野菜・ハーブ類,涼,辛,"肝,脾,肺",巡気,サポート,かぜの発熱を抑える、頭や目の熱感を抑える、 / 気を巡らせてストレス症状をやわらげるなど
I188,ムール貝,魚介類,温,鹹,"肺,腎",補水,メイン,水を補うほか、血を補うなど
I189,メロン,フルーツ類,寒,甘,"肝,心",清熱,サポート,熱を取るほか、暑さをやわらげる、口の渇きを抑える、 / 余分な水分を取る、痛みを抑える、 / 排尿を促してはれものを抑える、うみを出すなど
I190,もち・もち米,穀類,温,甘,脾,補気,メイン,胃腸の気を補う、下痢を抑える、汗を抑えるなど
I191,モモ,フルーツ類,温,"甘,酸",脾,補気,サポート,気を補うほか、胃の働きを助ける、水を補う、腸を潤す、 / 血を巡らせるなど
I192,ユズ,フルーツ類,涼,"甘,酸",脾,巡気,サポート,気を巡らせるほか、胃腸の働きを助ける、 / 水を補い口の渇きを抑える、呼吸器を潤す、酔いをさますなど
I193,湯葉,その他,平,甘,脾,清熱,サポート,熱を取るほか、解毒、胃腸の気を補う、たんを取るなど
I194,ゆり根,薬膳特有の食材,寒,"甘,苦","肺,腎",補水,メイン,水を補うほか、呼吸器を潤す、精神を安定させるなど
I195,ヨモギ,野菜・ハーブ類,温,"苦,辛","脾,腎",補熱,サポート,温めて出血を抑える、痛みを抑えるなど
I196,ライチ,フルーツ類,温,"甘,酸",脾,補血,サポート,血を補うほか、水を補う、口の渇きを抑える、 / 気を巡らせて痛みを抑える、胃腸の働きを助けるなど
I197,ラッキョウ,野菜・ハーブ類,温,"苦,辛","肝,脾,肺",巡気,サポート,気を巡らせるほか、熱を巡らせるなど
I198,竜眼肉（りゅうがんにく）,薬膳特有の食材,温,甘,心,補血,メイン,血を補うほか、心臓の働きを助ける、胃腸の働きを助ける、 / 精神を安定させる、下痢を抑える、排尿を促してはれものを抑えるなど / 【禁忌】妊娠中、小児の場合は多食しない
I199,緑豆（りょくず、りょくとう）,野菜・ハーブ類,寒,甘,"肝,心",清熱,サポート,熱を取るほか、解毒、暑さをやわらげる、水を巡らせるなど
I200,リンゴ,フルーツ類,涼,"甘,酸","肝,心",清熱,サポート,熱を取るほか、水を補う、下痢を抑えるなど
I201,レタス,野菜・ハーブ類,涼,"甘,苦","脾,肺,腎",巡水,サポート,水を巡らせるほか、熱を取る、排尿を促す、 / 母乳の分泌を助けるなど
I202,レモン,フルーツ類,平,"甘,酸","肺,腎",補水,サポート,水を補う、口の渇きを抑える、暑さをやわらげるなど
I203,レンコン,野菜・ハーブ類,寒,甘,脾,"清熱,補水,補血",サポート,生＝熱を取る、水を補う / 加熱したもの＝胃腸の調子を整える、血を補う、下痢を抑える
